Date,High,Low,Open,Close,Volume,Adj Close,Month,Day_month,Day_week,GDP,Fund_Rate,Unemployement,Neg,Neu,Pos
2019-08-29,2930.5,2905.669922,2910.370117,2924.580078,3176190000,2924.580078,8,29,3,2.1,2.12,3.7,0.023,0.817,0.160
2019-08-30,2940.429932,2913.320068,2937.090088,2926.459961,3008450000,2926.459961,8,30,4,2.1,2.13,3.7,0.025,0.824,0.152
2019-09-03,2914.389893,2891.850098,2909.01001,2906.27002,3426790000,2906.27002,9,3,1,2.1,2.13,3.5,0.016,0.842,0.142
2019-09-04,2938.840088,2921.860107,2924.669922,2937.780029,3163260000,2937.780029,9,4,2,2.1,2.13,3.5,0.032,0.806,0.163
2019-09-05,2985.860107,2960.600098,2960.600098,2976,3890700000,2976,9,5,3,2.1,2.13,3.5,0.026,0.826,0.148
2019-09-06,2985.030029,2972.51001,2980.330078,2978.709961,3208280000,2978.709961,9,6,4,2.1,2.12,3.5,0.027,0.807,0.166
2019-09-09,2989.429932,2969.389893,2988.429932,2978.429932,4002890000,2978.429932,9,9,0,2.1,2.13,3.5,0.030,0.795,0.175
2019-09-10,2979.389893,2957.01001,2971.01001,2979.389893,4390770000,2979.389893,9,10,1,2.1,2.13,3.5,0.023,0.807,0.169
2019-09-11,3000.929932,2975.310059,2981.409912,3000.929932,3927550000,3000.929932,9,11,2,2.1,2.13,3.5,0.032,0.816,0.151
2019-09-12,3020.73999,3000.919922,3009.080078,3009.570068,3791860000,3009.570068,9,12,3,2.1,2.13,3.5,0.023,0.828,0.150
2019-09-13,3017.330078,3002.899902,3012.209961,3007.389893,3520060000,3007.389893,9,13,4,2.1,2.14,3.5,0.026,0.817,0.157
2019-09-16,3002.189941,2990.669922,2996.409912,2997.959961,4274640000,2997.959961,9,16,0,2.1,2.25,3.5,0.024,0.832,0.145
2019-09-17,3006.209961,2993.72998,2995.669922,3005.699951,3671840000,3005.699951,9,17,1,2.1,2.3,3.5,0.026,0.801,0.173
2019-09-18,3007.830078,2978.570068,3001.5,3006.72998,3435540000,3006.72998,9,18,2,2.1,2.25,3.5,0.023,0.838,0.139
2019-09-19,3021.98999,3003.159912,3010.360107,3006.790039,3251290000,3006.790039,9,19,3,2.1,1.9,3.5,0.021,0.830,0.149
2019-09-20,3016.370117,2984.679932,3008.419922,2992.070068,6094740000,2992.070068,9,20,4,2.1,1.9,3.5,0.029,0.817,0.154
2019-09-23,2999.149902,2982.22998,2983.5,2991.780029,3186590000,2991.780029,9,23,0,2.1,1.9,3.5,0.014,0.848,0.138
2019-09-24,3007.97998,2957.72998,3002.429932,2966.600098,3868160000,2966.600098,9,24,1,2.1,1.9,3.5,0.023,0.825,0.152
2019-09-25,2989.820068,2952.860107,2968.350098,2984.870117,3318870000,2984.870117,9,25,2,2.1,1.9,3.5,0.030,0.823,0.147
2019-09-26,2987.280029,2963.709961,2985.72998,2977.620117,3077240000,2977.620117,9,26,3,2.1,1.85,3.5,0.027,0.820,0.153
2019-09-27,2987.310059,2945.530029,2985.469971,2961.790039,3243650000,2961.790039,9,27,4,2.1,1.83,3.5,0.023,0.797,0.180
