date,sentiment
20200218,"{'neg': 0.03, 'neu': 0.811, 'pos': 0.159, 'compound': 0.9998}"
20191112,"{'neg': 0.031, 'neu': 0.81, 'pos': 0.158, 'compound': 0.9998}"
20190813,"{'neg': 0.029, 'neu': 0.818, 'pos': 0.154, 'compound': 0.9998}"
20190522,"{'neg': 0.036, 'neu': 0.802, 'pos': 0.162, 'compound': 0.9997}"
20190520,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.9958}"
20190508,"{'neg': 0.009, 'neu': 0.809, 'pos': 0.183, 'compound': 0.9994}"
20200427,"{'neg': 0.014, 'neu': 0.87, 'pos': 0.117, 'compound': 0.9992}"
20200228,"{'neg': 0.046, 'neu': 0.782, 'pos': 0.172, 'compound': 0.9998}"
20200226,"{'neg': 0.013, 'neu': 0.873, 'pos': 0.114, 'compound': 0.9989}"
20200108,"{'neg': 0.004, 'neu': 0.865, 'pos': 0.13, 'compound': 0.9995}"
20191223,"{'neg': 0.014, 'neu': 0.636, 'pos': 0.35, 'compound': 1.0}"
20191210,"{'neg': 0.013, 'neu': 0.83, 'pos': 0.157, 'compound': 0.9999}"
20191122,"{'neg': 0.041, 'neu': 0.825, 'pos': 0.134, 'compound': 0.9994}"
20191106,"{'neg': 0.042, 'neu': 0.802, 'pos': 0.156, 'compound': 0.9997}"
20190805,"{'neg': 0.04, 'neu': 0.81, 'pos': 0.15, 'compound': 0.9996}"
20190507,"{'neg': 0.054, 'neu': 0.79, 'pos': 0.156, 'compound': 0.9994}"
20200429,"{'neg': 0.043, 'neu': 0.789, 'pos': 0.167, 'compound': 0.9997}"
20200406,"{'neg': 0.017, 'neu': 0.845, 'pos': 0.139, 'compound': 0.9999}"
20200401,"{'neg': 0.05, 'neu': 0.792, 'pos': 0.158, 'compound': 0.9999}"
20200330,"{'neg': 0.032, 'neu': 0.847, 'pos': 0.12, 'compound': 0.9981}"
20200312,"{'neg': 0.055, 'neu': 0.799, 'pos': 0.146, 'compound': 0.9998}"
20200304,"{'neg': 0.009, 'neu': 0.885, 'pos': 0.106, 'compound': 0.9982}"
20200204,"{'neg': 0.041, 'neu': 0.792, 'pos': 0.168, 'compound': 0.9998}"
20200102,"{'neg': 0.016, 'neu': 0.794, 'pos': 0.189, 'compound': 0.9995}"
20191227,"{'neg': 0.037, 'neu': 0.852, 'pos': 0.11, 'compound': 0.9946}"
20191217,"{'neg': 0.055, 'neu': 0.795, 'pos': 0.15, 'compound': 0.9998}"
20191202,"{'neg': 0.013, 'neu': 0.858, 'pos': 0.129, 'compound': 0.9961}"
20191112,"{'neg': 0.022, 'neu': 0.81, 'pos': 0.168, 'compound': 0.9996}"
20191024,"{'neg': 0.04, 'neu': 0.786, 'pos': 0.174, 'compound': 0.9998}"
20190930,"{'neg': 0.126, 'neu': 0.743, 'pos': 0.131, 'compound': -0.9956}"
20190822,"{'neg': 0.021, 'neu': 0.859, 'pos': 0.12, 'compound': 0.997}"
20190821,"{'neg': 0.023, 'neu': 0.862, 'pos': 0.115, 'compound': 0.9955}"
20190814,"{'neg': 0.013, 'neu': 0.86, 'pos': 0.127, 'compound': 0.9973}"
20190729,"{'neg': 0.037, 'neu': 0.839, 'pos': 0.123, 'compound': 0.9966}"
20190725,"{'neg': 0.053, 'neu': 0.777, 'pos': 0.17, 'compound': 0.9997}"
20190509,"{'neg': 0.01, 'neu': 0.8, 'pos': 0.19, 'compound': 0.9911}"
20190507,"{'neg': 0.015, 'neu': 0.744, 'pos': 0.241, 'compound': 0.9975}"
20200420,"{'neg': 0.003, 'neu': 0.798, 'pos': 0.199, 'compound': 1.0}"
20200414,"{'neg': 0.027, 'neu': 0.843, 'pos': 0.13, 'compound': 0.9995}"
20200317,"{'neg': 0.012, 'neu': 0.877, 'pos': 0.111, 'compound': 0.9992}"
20200218,"{'neg': 0.028, 'neu': 0.841, 'pos': 0.131, 'compound': 0.9998}"
20200123,"{'neg': 0.007, 'neu': 0.861, 'pos': 0.132, 'compound': 0.9995}"
20191125,"{'neg': 0.028, 'neu': 0.835, 'pos': 0.138, 'compound': 0.9998}"
20191022,"{'neg': 0.005, 'neu': 0.814, 'pos': 0.181, 'compound': 0.9999}"
20190918,"{'neg': 0.033, 'neu': 0.83, 'pos': 0.137, 'compound': 0.9998}"
20190916,"{'neg': 0.035, 'neu': 0.775, 'pos': 0.19, 'compound': 0.9999}"
20190906,"{'neg': 0.052, 'neu': 0.778, 'pos': 0.171, 'compound': 0.9999}"
20190816,"{'neg': 0.012, 'neu': 0.837, 'pos': 0.151, 'compound': 0.989}"
20190814,"{'neg': 0.034, 'neu': 0.805, 'pos': 0.161, 'compound': 0.9998}"
20190808,"{'neg': 0.027, 'neu': 0.699, 'pos': 0.274, 'compound': 1.0}"
20190514,"{'neg': 0.038, 'neu': 0.807, 'pos': 0.155, 'compound': 0.9997}"
20200430,"{'neg': 0.038, 'neu': 0.81, 'pos': 0.152, 'compound': 0.9999}"
20200423,"{'neg': 0.056, 'neu': 0.799, 'pos': 0.145, 'compound': 0.9996}"
20200309,"{'neg': 0.008, 'neu': 0.882, 'pos': 0.11, 'compound': 0.999}"
20200124,"{'neg': 0.035, 'neu': 0.832, 'pos': 0.134, 'compound': 0.9996}"
20200123,"{'neg': 0.001, 'neu': 0.887, 'pos': 0.112, 'compound': 0.9992}"
20191202,"{'neg': 0.009, 'neu': 0.853, 'pos': 0.138, 'compound': 0.9999}"
20191107,"{'neg': 0.035, 'neu': 0.828, 'pos': 0.136, 'compound': 0.9997}"
20190725,"{'neg': 0.044, 'neu': 0.822, 'pos': 0.135, 'compound': 0.9995}"
20200428,"{'neg': 0.047, 'neu': 0.782, 'pos': 0.17, 'compound': 0.9998}"
20200318,"{'neg': 0.003, 'neu': 0.877, 'pos': 0.12, 'compound': 0.9992}"
20200306,"{'neg': 0.004, 'neu': 0.851, 'pos': 0.144, 'compound': 0.9997}"
20200211,"{'neg': 0.031, 'neu': 0.794, 'pos': 0.174, 'compound': 0.9999}"
20191028,"{'neg': 0.034, 'neu': 0.788, 'pos': 0.178, 'compound': 0.9998}"
20191002,"{'neg': 0.037, 'neu': 0.787, 'pos': 0.176, 'compound': 0.9999}"
20190822,"{'neg': 0.007, 'neu': 0.875, 'pos': 0.118, 'compound': 0.9993}"
20190816,"{'neg': 0.019, 'neu': 0.819, 'pos': 0.162, 'compound': 0.9999}"
20190814,"{'neg': 0.013, 'neu': 0.853, 'pos': 0.134, 'compound': 0.9997}"
20190812,"{'neg': 0.013, 'neu': 0.853, 'pos': 0.134, 'compound': 0.9997}"
20190730,"{'neg': 0.036, 'neu': 0.784, 'pos': 0.181, 'compound': 0.9998}"
20190611,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.9933}"
20190517,"{'neg': 0.033, 'neu': 0.65, 'pos': 0.317, 'compound': 1.0}"
20190430,"{'neg': 0.036, 'neu': 0.777, 'pos': 0.187, 'compound': 0.9998}"
20200423,"{'neg': 0.008, 'neu': 0.833, 'pos': 0.158, 'compound': 0.9998}"
20200415,"{'neg': 0.011, 'neu': 0.857, 'pos': 0.132, 'compound': 0.9995}"
20200406,"{'neg': 0.012, 'neu': 0.864, 'pos': 0.123, 'compound': 0.9994}"
20200326,"{'neg': 0.027, 'neu': 0.802, 'pos': 0.171, 'compound': 0.9994}"
20200316,"{'neg': 0.055, 'neu': 0.849, 'pos': 0.097, 'compound': 0.989}"
20200313,"{'neg': 0.008, 'neu': 0.878, 'pos': 0.115, 'compound': 0.9992}"
20200313,"{'neg': 0.008, 'neu': 0.874, 'pos': 0.118, 'compound': 0.9993}"
20200306,"{'neg': 0.044, 'neu': 0.845, 'pos': 0.111, 'compound': 0.9963}"
20200213,"{'neg': 0.009, 'neu': 0.856, 'pos': 0.135, 'compound': 0.9995}"
20200213,"{'neg': 0.01, 'neu': 0.868, 'pos': 0.123, 'compound': 0.9998}"
20200128,"{'neg': 0.045, 'neu': 0.808, 'pos': 0.148, 'compound': 0.9998}"
20200113,"{'neg': 0.025, 'neu': 0.852, 'pos': 0.122, 'compound': 0.9988}"
20200106,"{'neg': 0.009, 'neu': 0.854, 'pos': 0.137, 'compound': 0.9996}"
20191216,"{'neg': 0.027, 'neu': 0.865, 'pos': 0.108, 'compound': 0.9975}"
20191024,"{'neg': 0.05, 'neu': 0.827, 'pos': 0.123, 'compound': 0.9988}"
20191010,"{'neg': 0.025, 'neu': 0.847, 'pos': 0.128, 'compound': 0.9989}"
20190904,"{'neg': 0.033, 'neu': 0.862, 'pos': 0.106, 'compound': 0.995}"
20190807,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.9992}"
20190725,"{'neg': 0.046, 'neu': 0.831, 'pos': 0.123, 'compound': 0.9989}"
20190711,"{'neg': 0.03, 'neu': 0.854, 'pos': 0.116, 'compound': 0.9978}"
20190613,"{'neg': 0.03, 'neu': 0.842, 'pos': 0.128, 'compound': 0.9982}"
20190515,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.9847}"
20200420,"{'neg': 0.015, 'neu': 0.843, 'pos': 0.141, 'compound': 0.9998}"
20200304,"{'neg': 0.041, 'neu': 0.752, 'pos': 0.206, 'compound': 1.0}"
20200219,"{'neg': 0.036, 'neu': 0.794, 'pos': 0.17, 'compound': 0.9998}"
20200205,"{'neg': 0.009, 'neu': 0.842, 'pos': 0.149, 'compound': 0.9997}"
20191125,"{'neg': 0.022, 'neu': 0.786, 'pos': 0.192, 'compound': 0.9999}"
20191106,"{'neg': 0.034, 'neu': 0.814, 'pos': 0.153, 'compound': 0.9997}"
20191101,"{'neg': 0.018, 'neu': 0.768, 'pos': 0.213, 'compound': 0.9999}"
20191030,"{'neg': 0.003, 'neu': 0.868, 'pos': 0.129, 'compound': 0.9994}"
20191025,"{'neg': 0.042, 'neu': 0.812, 'pos': 0.146, 'compound': 0.9993}"
20190814,"{'neg': 0.014, 'neu': 0.874, 'pos': 0.111, 'compound': 0.9996}"
20190807,"{'neg': 0.039, 'neu': 0.807, 'pos': 0.154, 'compound': 0.9996}"
20190802,"{'neg': 0.021, 'neu': 0.704, 'pos': 0.275, 'compound': 0.9999}"
20190723,"{'neg': 0.019, 'neu': 0.837, 'pos': 0.144, 'compound': 0.9981}"
20190510,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.9896}"
20190508,"{'neg': 0.039, 'neu': 0.807, 'pos': 0.154, 'compound': 0.9997}"
20200427,"{'neg': 0.043, 'neu': 0.788, 'pos': 0.169, 'compound': 0.9999}"
20200330,"{'neg': 0.019, 'neu': 0.823, 'pos': 0.157, 'compound': 0.9996}"
20200330,"{'neg': 0.002, 'neu': 0.849, 'pos': 0.149, 'compound': 0.9992}"
20200326,"{'neg': 0.043, 'neu': 0.812, 'pos': 0.145, 'compound': 0.9999}"
20200210,"{'neg': 0.008, 'neu': 0.82, 'pos': 0.172, 'compound': 0.9999}"
20200203,"{'neg': 0.033, 'neu': 0.787, 'pos': 0.18, 'compound': 0.9999}"
20200109,"{'neg': 0.021, 'neu': 0.78, 'pos': 0.199, 'compound': 1.0}"
20200106,"{'neg': 0.017, 'neu': 0.868, 'pos': 0.115, 'compound': 0.9992}"
20191203,"{'neg': 0.031, 'neu': 0.804, 'pos': 0.166, 'compound': 0.9999}"
20191028,"{'neg': 0.041, 'neu': 0.784, 'pos': 0.174, 'compound': 0.9999}"
20190926,"{'neg': 0.011, 'neu': 0.867, 'pos': 0.122, 'compound': 0.9994}"
20190912,"{'neg': 0.025, 'neu': 0.795, 'pos': 0.181, 'compound': 0.9999}"
20190905,"{'neg': 0.042, 'neu': 0.819, 'pos': 0.139, 'compound': 0.9998}"
20190729,"{'neg': 0.037, 'neu': 0.789, 'pos': 0.175, 'compound': 0.9999}"
20190717,"{'neg': 0.03, 'neu': 0.834, 'pos': 0.136, 'compound': 0.9997}"
20190715,"{'neg': 0.033, 'neu': 0.768, 'pos': 0.199, 'compound': 1.0}"
20190710,"{'neg': 0.047, 'neu': 0.811, 'pos': 0.143, 'compound': 0.9998}"
